,Name,Width,Height,Width Added,Height Added
0,Natore,23063,30108,22,159
1,Satkhira,21646,65195,413,469
2,Netrakona,34920,31981,477,338
3,Maulvibazar,32353,35843,479,67
4,Narsingdi,19834,24940,173,197
5,Khagrachhari,21868,53113,191,239
6,Panchagarh,22203,32660,369,172
7,Gaibandha,26682,31512,507,294
8,Dhaka,23684,26594,427,82
9,Bagerhat,20447,63995,73,130
10,Nawabganj,23461,28198,137,17
11,Chittago,42182,57036,397,420
12,Jhenaidah,31712,28122,94,93
13,Meherpur,15333,19160,57,334
14,Mymensingh,34775,48885,109,363
15,Noakhali,25048,56045,89,385
16,Khulna,24152,66220,472,470
17,Naogao,35781,34973,129,424
18,Kushtia,31235,25607,58,43
19,Sirajganj,26928,39422,261,79
20,Sylhet,40318,30499,209,281
21,Pabna,34284,27861,87,354
22,Comilla,34576,37970,308,505
23,Dinajpur,42922,43461,170,144
24,Bhola,23256,49834,342,440
25,Brahamanbaria,28306,31709,422,97
26,Sunamganj,37617,32797,345,35
27,Habiganj,24122,36824,502,112
28,Tangail,26410,42173,266,406
29,Thakurgao,26132,27839,31,376
30,Narail,19954,19365,53,129
31,Nilphamari,18983,30022,511,245
32,Rajbari,26411,17857,265,98
33,Jhalokati,17051,22689,391,396
34,Kurigram,20301,44819,219,325
35,Madaripur,19498,27069,509,120
36,Sherpur,19809,21757,198,302
37,Manikganj,26645,20434,31,86
38,Jessore,33452,29344,406,410
39,Faridpur,32281,25997,38,166
40,Chuadanga,17827,24267,128,357
41,Joypurhat,16801,22058,128,1
42,Lalmonirhat,31089,35107,204,290
43,Narayanganj,14552,18478,325,503
44,Pirojpur,15431,35961,472,462
45,Cox's Bazar,24377,66681,247,9
46,Kishoreganj,31783,31326,23,480
47,Chandpur,22896,26340,189,336
48,Rajshahi,31316,31061,490,232
49,Bandarba,28928,58781,313,214
50,Rangamati,33025,95466,320,465
51,Barisal,31290,31286,3,7
52,Shariatpur,18046,22705,422,380
53,Gopalganj,21959,25719,100,444
54,Jamalpur,26244,44537,432,94
55,Lakshmipur,17435,34233,7,138
56,Munshiganj,25774,14968,389,422
57,Gazipur,25921,25396,242,254
58,Feni,15397,26757,506,432
59,Bogra,35799,30136,111,131
60,Patuakhali,27041,41445,148,108
61,Barguna,23147,31491,451,315
62,Rangpur,28221,34515,507,369
63,Magura,18720,21584,261,475
